Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
4374,1705302,RES1,6.0,60290106,0.0,6029,2897
4395,2839572,RES1,6.0,60882103,0.0,6088,1211
4411,3123832,RES1,6.0,60883003,0.0,6088,1026
4435,3059213,RES1,6.0,60882103,0.0,6088,88
4443,2828963,RES1,6.0,60881506,0.0,6088,3386
4444,2524773,RES2,18.0,40860000,1.0,4086,12477
4446,1727413,RES1,6.0,60290117,0.0,6029,6137
4523,2483123,RES2,6.0,40960000,0.0,4096,15182
4526,20154783,RES2,15.0,30950106,1.0,3095,16995
4529,1513603,RES1,6.0,60290121,0.0,6029,229
4553,4072743,RES1,6.0,40940000,1.0,4094,1191
4581,3082773,RES2,6.0,60882501,0.0,6088,9654
4605,2622813,RES4,18.0,60250000,1.0,6025,41386
4627,3036943,RES1,6.0,60882202,0.0,6088,7009
4632,2483493,RES2,6.0,40930000,0.0,4093,1115
4793,2827583,RES2,6.0,60881802,0.0,6088,17914
4808,1506083,RES1,6.0,60290102,0.0,6029,0
4821,3064673,RES1,6.0,60880401,0.0,6088,5062
4917,1549733,RES1,6.0,60290119,0.0,6029,1147
5037,2797953,RES2WE,9.0,60883401,1.0,6088,33142
5053,2823533,RES11,9.0,60882203,0.0,6088,16157
5066,8132113,RES1,6.0,92060000,1.0,9206,3066
5136,2661953,RES1,6.0,60882002,0.0,6088,0
5256,8253623,RES1,6.0,92250101,1.0,9225,9808
5321,2975723,RES1,6.0,60880206,0.0,6088,6514
5349,1510633,RES1,6.0,60290111,1.0,6029,6737
5350,2623653,RES1,6.0,60881403,0.0,6088,925
5399,2803243,RES11,9.0,60882705,0.0,6088,23353
5402,3135473,RES11,9.0,60882401,0.0,6088,7236
5435,1765933,RES1,3.0,60290103,0.0,6029,0
5463,3031803,RES1,3.0,60881506,0.0,6088,1015
5516,1782333,RES2,6.0,60290102,0.0,6029,4183
5685,1709553,RES1,6.0,60290117,1.0,6029,1924
5690,2333353,RES1,6.0,40190000,0.0,4019,2583
5717,3110213,RES1,6.0,60881603,0.0,6088,3502
5737,2507183,RES1,6.0,40260000,1.0,4026,8967
5749,2591163,RES2,6.0,61230111,0.0,6123,1260
5777,1570763,RES2,6.0,60040106,1.0,6004,435
5778,2530473,RES1,6.0,41260000,0.0,4126,2117
5840,1569193,RES1,3.0,60290106,0.0,6029,963
5863,3063513,RES1,6.0,60270104,1.0,6027,11307
5912,3102103,RES1,6.0,60880203,0.0,6088,195
5944,2767253,RES2,18.0,60270103,1.0,6027,24811
5963,15252163,PRO1,6.0,10530302,0.0,1053,794
5975,1801063,RES1,6.0,60290101,0.0,6029,237
5981,2944683,RES1,6.0,60880508,0.0,6088,7281
6006,2979453,RES1,6.0,60881901,0.0,6088,392
6015,1714423,RES1,6.0,60290119,0.0,6029,1041
6025,2370463,RES1,6.0,40190000,0.0,4019,1339
6036,3062263,RES2,6.0,60270108,0.0,6027,1717
6055,4335743,RES2,6.0,41120101,1.0,4112,20808
6088,4580653,RES1,6.0,41120103,0.0,4112,7185
6131,2738733,RES2,6.0,60882101,0.0,6088,5676
6190,2486383,RES11,9.0,40190000,0.0,4019,1045
6194,2733963,RES1,6.0,61610105,0.0,6161,3685
6241,2716333,RES2,6.0,60881309,0.0,6088,230
6283,2334493,RES2,6.0,42050000,0.0,4205,643
6306,2756883,RES11,18.0,60883301,0.0,6088,9027
6311,1763003,RES1,6.0,60290117,0.0,6029,5254
6369,20244803,RES11,9.0,31320000,1.0,3132,17009
6517,8148613,RES11,9.0,92060000,1.0,9206,6070
6559,3119123,RES2,6.0,60881701,1.0,6088,6875
6676,1536703,RES2,6.0,60040105,1.0,6004,7286
6724,2351364,RES11,9.0,42050000,1.0,4205,3412
6776,20486994,RES2,6.0,31850107,1.0,3185,5613
6798,2819624,RES2,6.0,60880304,0.0,6088,17656
6825,1669704,RES11,9.0,60290117,0.0,6029,5309
6862,3067244,PRO1,6.0,60882502,0.0,6088,8349
6871,82397544,RES1,6.0,60330105,,6033,8436
6893,2681954,RES2,9.0,60880401,0.0,6088,5014
6941,2428194,RES1,6.0,42050000,1.0,4205,790
6968,20258964,RES1,6.0,31900108,1.0,3190,5094
6999,20249094,RES2,9.0,31900101,1.0,3190,8738
7012,2469044,RES1,6.0,40190000,0.0,4019,2952
7037,2538814,RES2,6.0,41260000,0.0,4126,1736
7072,1492704,RES1,6.0,60290102,0.0,6029,488
7074,3048464,RES1,6.0,60882401,0.0,6088,18770
7121,1636544,RES1,3.0,60290102,0.0,6029,2572
7199,2489804,RES1,6.0,42050000,1.0,4205,3429
7314,2349564,RES1,6.0,40190000,0.0,4019,706
7366,1833154,RES1,6.0,60290102,0.0,6029,331
7399,4503244,RES2,9.0,40940000,1.0,4094,7885
7427,2553094,RES1,6.0,41260000,1.0,4126,552
7464,2381834,RES1,6.0,42370000,1.0,4237,3213
7560,2974804,RES1,6.0,61610106,1.0,6161,2131
7620,2968744,RES2,6.0,60882602,0.0,6088,592
7701,2716664,RES1,6.0,60883701,1.0,6088,1551
7743,20445974,RES1,6.0,31850107,1.0,3185,8176
7744,2405544,RES2,6.0,40190000,1.0,4019,2937
7765,2689514,RES1,6.0,60270117,0.0,6027,212
7772,2666234,RES2,6.0,60881002,0.0,6088,4521
7782,2972544,RES2,6.0,60882402,0.0,6088,6246
7805,1640644,RES1,6.0,60290103,0.0,6029,3463
7822,8173624,RES1,6.0,91250000,1.0,9125,90
7847,20477254,RES2,6.0,31850115,1.0,3185,9016
7965,2365444,RES1,6.0,40960000,0.0,4096,4983
8011,7965024,RES1,6.0,92060000,1.0,9206,5283
8023,2567564,RES1,6.0,42030000,0.0,4203,1033
8038,2662694,RES1,6.0,60881903,1.0,6088,7493
8083,1522514,RES1,6.0,60290111,0.0,6029,1645
8110,2718674,RES2,6.0,60880401,0.0,6088,4466
8213,2623754,RES1,6.0,60882201,0.0,6088,6862
8283,1697334,RES11,9.0,60290103,0.0,6029,1946
8314,2947224,RES1WE,6.0,60881101,0.0,6088,1995
8364,2344394,RES1,6.0,42050000,1.0,4205,8808
8376,2368244,RES1,6.0,40190000,0.0,4019,673
8401,2482514,RES11,9.0,40190000,1.0,4019,9982
8461,1727084,RES2,30.0,60290106,0.0,6029,80212
8466,20270184,RES1,6.0,32360000,1.0,3236,10436
8524,1685684,RES11,9.0,60290124,,6029,3082
8563,8017084,RES1,6.0,91380000,1.0,9138,63
8695,2587134,RES1,3.0,60881304,0.0,6088,9991
8751,20158864,RES1,6.0,33210101,1.0,3321,4609
8800,3099084,RES2,6.0,60882201,0.0,6088,4942
8875,1670025,RES11,9.0,60290104,0.0,6029,5804
