Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
4195,2686341,RES2,12.0,60881004,0.0,6088,63801
4229,20428691,RES1,6.0,31950000,1.0,3195,5822
4234,20164141,RES1,6.0,30130000,1.0,3013,9021
4254,3103441,RES1,6.0,60881605,0.0,6088,3536
4271,2759501,RES2,6.0,60881103,0.0,6088,12465
4288,4644811,RES2,9.0,40940000,1.0,4094,47599
4363,2618591,RES2,6.0,60882402,0.0,6088,13346
4451,2716981,RES2,9.0,61230105,0.0,6123,8174
4456,2985731,RES1,6.0,60882503,0.0,6088,3164
4543,2738491,RES1,3.0,60882705,0.0,6088,5278
4586,2945671,RES2,6.0,60882704,0.0,6088,16879
4608,2907001,RES2,6.0,60881606,0.0,6088,40954
4637,2858041,RES11,9.0,60882704,0.0,6088,8288
4693,2715861,RES1,6.0,60880506,0.0,6088,2637
4775,2898931,RES2WE,6.0,60883003,0.0,6088,2423
4809,2715781,RES2,6.0,60881102,0.0,6088,19761
4811,2874901,RES2,9.0,60590000,0.0,6059,32962
4834,2820501,RES2,9.0,61140000,1.0,6114,23724
4873,2740621,RES2,9.0,60880201,0.0,6088,24055
4912,2565521,RES2,9.0,50610102,0.0,5061,15714
4918,8261451,RES2,9.0,93000000,1.0,9300,34439
4921,2824211,RES2,6.0,60880205,0.0,6088,35332
4999,3070581,RES11,9.0,60881604,0.0,6088,12879
5028,2662471,RES1,6.0,60880303,0.0,6088,15305
5030,2678581,RES2,6.0,61140000,1.0,6114,29401
5094,20211421,RES1,6.0,33210101,1.0,3321,14113
5109,2904641,RES2,6.0,60880501,0.0,6088,14170
5111,3026871,RES2,6.0,60880506,0.0,6088,10884
5130,2847471,RES2,9.0,60881307,0.0,6088,18545
5179,3156951,RES1,6.0,60882401,0.0,6088,3122
5226,20256401,RES11,9.0,31560000,1.0,3156,8175
5266,3011171,RES1,3.0,60882302,0.0,6088,2117
5267,20137121,RES1,6.0,33210104,1.0,3321,3919
5321,2913131,RES1,6.0,60880501,0.0,6088,8143
5333,2908921,RES1,6.0,60882705,0.0,6088,5455
5341,2500781,RES1,6.0,50610102,0.0,5061,3861
5400,8006341,RES1,6.0,91220104,1.0,9122,8761
5416,1559541,RES11,9.0,60290110,1.0,6029,4821
5433,1492581,RES1,6.0,60040108,0.0,6004,5272
5461,2755531,RES1,6.0,60883101,1.0,6088,5379
5499,2795011,RES2,6.0,60880305,0.0,6088,11776
5528,2830611,RES1,6.0,60882904,0.0,6088,3922
5569,8108211,RES1,6.0,91160000,1.0,9116,8104
5579,2880591,RES11,9.0,60250000,1.0,6025,3428
5629,3027981,RES2,12.0,60270110,0.0,6027,17056
5636,20377501,RES11,9.0,31850101,1.0,3185,47496
5648,2709611,RES1,3.0,60880701,0.0,6088,3765
5690,20132281,RES1,6.0,33210106,1.0,3321,3537
5697,1515581,RES11,9.0,60290104,1.0,6029,2532
5737,2837591,RES2,6.0,60880501,0.0,6088,12810
5773,1549941,RES2,9.0,60290103,0.0,6029,16149
5794,2896901,RES2,9.0,60882804,1.0,6088,24364
5851,3016491,RES2,6.0,60882303,0.0,6088,9915
5867,15115571,RES1,6.0,10530103,0.0,1053,4156
5883,20286211,RES1,6.0,30950103,0.0,3095,1228
5931,2957181,RES1,6.0,60883401,0.0,6088,6991
5937,3065071,RES1,6.0,60882705,0.0,6088,5070
5949,37535451,RES1,6.0,26910401,1.0,2691,6248
5957,1716831,RES2WE,24.0,60290106,0.0,6029,60372
6085,7948331,RES2,12.0,91600102,1.0,9160,13624
6136,3136591,RES2,6.0,60881101,0.0,6088,5484
6161,1768631,RES2,3.0,60290121,0.0,6029,4880
6202,3065691,RES1,6.0,60881602,0.0,6088,6237
6210,3005441,RES1,6.0,60880904,0.0,6088,2937
6304,2789451,RES2,6.0,60882804,0.0,6088,4594
6353,2838741,RES2,36.0,61280000,1.0,6128,89656
6363,20322021,RES1,6.0,31010103,1.0,3101,8753
6400,20123951,RES1,6.0,33210104,1.0,3321,6873
6409,2677941,RES1,6.0,60880302,0.0,6088,1056
6412,20279641,RES2,9.0,30400000,1.0,3040,29266
6423,1680211,RES1,3.0,60290101,0.0,6029,2526
6426,20390691,RES11,9.0,31850101,0.0,3185,25414
6436,1746121,RES1,6.0,60040108,0.0,6004,3617
6488,2590571,RES1,6.0,60270108,0.0,6027,1287
6565,2733051,RES2,6.0,60881505,0.0,6088,10892
6574,2660001,RES1,6.0,60881306,0.0,6088,5676
6596,82791481,RES1,6.0,60883401,,6088,4221
6622,1488491,RES2,9.0,60290106,0.0,6029,18479
6665,2915801,RES2,9.0,60881903,0.0,6088,19328
